conf,P,R,F1
0.00236,0.16393442622950818,0.9837521086744206,0.2810363850807218
0.00234,0.1633742186578606,0.9839296812572139,0.2802199886212782
0.00232,0.16278864798166756,0.9839296812572139,0.2793581971035683
0.0023,0.1622072599531616,0.9839296812572139,0.2785016900594348
0.00228,0.16167376465783792,0.9841960401314037,0.2777255815701454
0.00227,0.1611149866294617,0.9842848264228004,0.2769042474803612
0.00225,0.16056015756241673,0.9843736127141969,0.27608790387847854
0.00223,0.1600092357423228,0.9844623990055935,0.27527650541838905
0.00221,0.15944779982743745,0.9844623990055935,0.27444525574545503
0.00219,0.15890461997019373,0.9845511852969902,0.2736436882302861
0.00218,0.15839378534300566,0.98481754417118,0.27289613856392464
0.00216,0.15784380692167577,0.98481754417118,0.272079475072055
0.00214,0.1573259969368654,0.9849951167539732,0.27131659717042267
0.00212,0.1567976257772753,0.9850839030453697,0.2705338746449167
0.00211,0.1562728860345896,0.9851726893367664,0.26975579515480086
0.00209,0.1557377049180328,0.9851726893367664,0.2689580783168305
0.00207,0.15520617691489957,0.9851726893367664,0.26816506555495134
0.00206,0.15469220475075277,0.985261475628163,0.26740081205797656
0.00204,0.15416782439566545,0.985261475628163,0.26661701284192063
0.00202,0.15364698715108552,0.985261475628163,0.2658377951058249
0.00201,0.15312965722801788,0.985261475628163,0.26506311879710026
0.00199,0.15262955220596325,0.9853502619195597,0.2643167609407562
0.00198,0.15214649925982784,0.9855278345023528,0.2635984754034125
0.00196,0.15163934426229508,0.9855278345023528,0.2628369818737199
0.00195,0.1511627906976744,0.9857054070851461,0.26212709693413766
0.00193,0.15066225165562913,0.9857054070851461,0.261374203952867
0.00192,0.1501920683871666,0.9858829796679393,0.2606725746816128
0.0019,0.14971149698015532,0.9859717659593359,0.2599515443766898
0.00189,0.14923407686105886,0.9860605522507325,0.25923462063653235
0.00187,0.14875977713489769,0.986149338542129,0.25852176847789404
0.00186,0.1482752176002563,0.986149338542129,0.25778974364925555
0.00184,0.14779380455609964,0.986149338542129,0.25706185268761206
0.00183,0.14731550745397634,0.986149338542129,0.25633806067459813
0.00182,0.14684029613960867,0.986149338542129,0.2556183330840132
0.0018,0.14636814084655528,0.986149338542129,0.25490263577633193
0.00179,0.1459121479613283,0.9862381248335257,0.2542138206451465
0.00178,0.14545906876865866,0.9863269111249223,0.25352884121640895
0.00176,0.14500887543071944,0.986415697416319,0.25284766554011767
0.00175,0.14454852979443145,0.986415697416319,0.2521475664695937
0.00174,0.14409109773811996,0.986415697416319,0.25145133364264943
0.00173,0.1436494802709831,0.9865044837077155,0.2507815056821388
0.00171,0.14322352819878337,0.9866820562905088,0.2501378650610545
0.0017,0.14277455162135771,0.9866820562905088,0.2494528558120742
0.00169,0.14232838114754098,0.9866820562905088,0.24877158814904354
0.00168,0.14188499055206577,0.9866820562905088,0.248094031500106
0.00167,0.14144435393544447,0.9866820562905088,0.24742015562556358
0.00165,0.14101913414200884,0.9867708425819054,0.24677213433250075
0.00164,0.1405838899008298,0.9867708425819054,0.24610547060972776
0.00163,0.14015132408575032,0.9867708425819054,0.245442399213807
0.00162,0.13973398370713064,0.9868596288733019,0.2448049159205788
0.0016,0.1393066626560385,0.9868596288733019,0.24414888359271175
0.00159,0.13890693722510997,0.9870372014560952,0.24354017196998742
0.00158,0.13848472768947132,0.9870372014560952,0.2428910082041534
0.00157,0.13808991554893194,0.9872147740388884,0.24228887702515717
0.00156,0.13767272547174483,0.9872147740388884,0.2416464733176133
0.00155,0.13727039304760025,0.987303560330285,0.24102914241744428
0.00154,0.1368581696450549,0.987303560330285,0.2403934497108577
0.00153,0.1364484146461176,0.987303560330285,0.23976110134865616
0.00152,0.13604110594568142,0.987303560330285,0.2391320710084621
0.00151,0.13563622170179548,0.987303560330285,0.23850633264340945
0.0015,0.13523374033176047,0.987303560330285,0.23788386047854876
0.00149,0.13483364050829372,0.987303560330285,0.23726462900730783
0.00148,0.13443590115576187,0.987303560330285,0.23664861298800793
0.00146,0.13406460945033752,0.9874811329130783,0.23607823992018934
0.00145,0.13367145810297582,0.9874811329130783,0.23546847047116984
0.00144,0.13328060588630045,0.9874811329130783,0.2348618428693605
0.00144,0.1329278784113177,0.9877474917872681,0.2343215207203412
0.00143,0.132541460160122,0.9877474917872681,0.23372094244687444
